Ingredient,Function,Comedogenic Rating,Irritancy,Good For,Bad For,Description
Isopropyl Lactate,Preservative,1,1,Sensitive,Oily,A standard cosmetic preservative used in skincare formulations.
Triticum Vulgare Oil,Emollient,4,0,Sensitive,None,Natural plant-derived emollient from Triticum Vulgare.
Polysorbate 60 Phosphate,Chelating,2,0,Oily,Acne,A standard cosmetic chelating used in skincare formulations.
Sorbitan Hydroxide,Astringent,2,1,All,Dry,A standard cosmetic astringent used in skincare formulations.
Hydrogenated Salicylate,Soothing,2,0,Oily,Sensitive,A standard cosmetic soothing used in skincare formulations.
Aluminum Wheat Protein,Solvent,0,1,Aging,Dry,A standard cosmetic solvent used in skincare formulations.
Persea Gratissima Juice,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Persea Gratissima.
Hydrolyzed Ceramide NP,Exfoliant,1,1,Oily,Dry,A standard cosmetic exfoliant used in skincare formulations.
Potassium Oleate,Solvent,1,1,Sensitive,Acne,A standard cosmetic solvent used in skincare formulations.
Copper Myristate,Astringent,2,1,Sensitive,Oily,A standard cosmetic astringent used in skincare formulations.
Methyl Silk,Soothing,1,0,Aging,Dry,A standard cosmetic soothing used in skincare formulations.
Polysorbate 80 Sorbate,Soothing,1,1,Oily,Dry,A standard cosmetic soothing used in skincare formulations.
Titanium Myristate,Chelating,0,0,Dry,Acne,A standard cosmetic chelating used in skincare formulations.
Polysorbate 20 Elastin,Preservative,1,5,Acne,Sensitive,A standard cosmetic preservative used in skincare formulations.
Citrus Aurantium Dulcis Wax,Humectant,0,0,Dry,None,Natural plant-derived humectant from Citrus Aurantium Dulcis.
Cocamidopropyl Stearate,Viscosity Controller,1,0,Aging,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Olea Europaea Essential Oil,Soothing,4,1,Sensitive;Aging;Dry,Sensitive,Natural plant-derived soothing from Olea Europaea.
Behenyl Linoleate,Buffering,2,1,Oily,None,A standard cosmetic buffering used in skincare formulations.
Stearyl Silk,Soothing,0,0,All,Oily,A standard cosmetic soothing used in skincare formulations.
Polysorbate 80 Hydroxide,Astringent,2,1,Oily,None,A standard cosmetic astringent used in skincare formulations.
Butyl Carbonate,Antioxidant,0,0,Oily,Sensitive,A standard cosmetic antioxidant used in skincare formulations.
Lauroyl Dioxide,Buffering,0,1,Dry,Oily,A standard cosmetic buffering used in skincare formulations.
Chamomilla Recutita Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Chamomilla Recutita.
PPG-15 Keratin,Surfactant,1,2,Dry,Acne,A standard cosmetic surfactant used in skincare formulations.
Hydrogenated Panthenol,Astringent,2,0,Acne,Dry,A standard cosmetic astringent used in skincare formulations.
Polysorbate 80 Soy Protein,Soothing,0,1,Oily,Oily,A standard cosmetic soothing used in skincare formulations.
Aluminum Lactate,Preservative,0,4,Oily,None,A standard cosmetic preservative used in skincare formulations.
Magnesium Copolymer,Solvent,1,1,Acne,Acne,A standard cosmetic solvent used in skincare formulations.
Propyl Retinol,Thickener,4,1,Sensitive,Sensitive,A standard cosmetic thickener used in skincare formulations.
Melaleuca Alternifolia Flower Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Melaleuca Alternifolia.
Isobutyl Oat Protein,Thickener,3,1,All,None,A standard cosmetic thickener used in skincare formulations.
Polysorbate 60 Copolymer,Exfoliant,1,4,Oily,Oily,A standard cosmetic exfoliant used in skincare formulations.
Polysorbate 80 Gluconate,Soothing,0,1,Oily,Oily,A standard cosmetic soothing used in skincare formulations.
Polysorbate 80 Retinol,Buffering,1,0,All,Oily,A standard cosmetic buffering used in skincare formulations.
Iron Chloride,Chelating,1,1,Dry,Sensitive,A standard cosmetic chelating used in skincare formulations.
Methyl Retinol,Humectant,0,1,Sensitive,Dry,A standard cosmetic humectant used in skincare formulations.
Titanium Elastin,Surfactant,2,0,Acne,Dry,A standard cosmetic surfactant used in skincare formulations.
Prunus Amygdalus Dulcis Fruit Extract,Antioxidant,0,0,Dry,None,Natural plant-derived antioxidant from Prunus Amygdalus Dulcis.
Iron Lactate,Chelating,2,1,All,Dry,A standard cosmetic chelating used in skincare formulations.
Ginkgo Biloba Callus Culture Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Ginkgo Biloba.
PPG-10 Peptide,Emollient,5,1,Acne,Dry,A standard cosmetic emollient used in skincare formulations.
Cetyl Sorbate,Viscosity Controller,2,0,All,Oily,A standard cosmetic viscosity controller used in skincare formulations.
Rosa Damascena Oil,Humectant,2,0,All,None,Natural plant-derived humectant from Rosa Damascena.
Titanium Salicylate,Exfoliant,1,4,Aging,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Cetearyl Carbonate,Preservative,0,4,Acne,None,A standard cosmetic preservative used in skincare formulations.
Myristyl Chloride,Emollient,5,0,Aging,None,A standard cosmetic emollient used in skincare formulations.
Potassium Laurate,Viscosity Controller,1,1,All,Acne,A standard cosmetic viscosity controller used in skincare formulations.
Isobutyl Sulfate,Soothing,0,0,Acne,Dry,A standard cosmetic soothing used in skincare formulations.
Vitis Vinifera Bark Extract,Soothing,0,0,Sensitive;Aging;Dry,None,Natural plant-derived soothing from Vitis Vinifera.
Potassium Carbonate,Solvent,1,1,Dry,Sensitive,A standard cosmetic solvent used in skincare formulations.
Cetearyl Peptide,Emollient,3,0,Oily,None,A standard cosmetic emollient used in skincare formulations.
Polyglyceryl-3 Phosphate,Antioxidant,2,1,Sensitive,None,A standard cosmetic antioxidant used in skincare formulations.
Sorbitan Laurate,Surfactant,0,5,Acne,Acne,A standard cosmetic surfactant used in skincare formulations.
Magnesium Palmitate,Humectant,1,1,Oily,Oily,A standard cosmetic humectant used in skincare formulations.
PEG-40 Collagen,Astringent,0,0,Sensitive,Oily,A standard cosmetic astringent used in skincare formulations.
Magnesium Keratin,Exfoliant,0,3,Aging,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Polysorbate 60 Tocopherol,Exfoliant,2,0,Oily,Sensitive,A standard cosmetic exfoliant used in skincare formulations.
Calendula Officinalis Juice,Emollient,0,0,Acne,None,Natural plant-derived emollient from Calendula Officinalis.
Stearyl Oleate,Buffering,2,1,Dry,None,A standard cosmetic buffering used in skincare formulations.
Cetearyl Sulfate,Thickener,4,0,Oily,Acne,A standard cosmetic thickener used in skincare formulations.
Lavandula Angustifolia Callus Culture Extract,Emollient,0,0,Aging,None,Natural plant-derived emollient from Lavandula Angustifolia.
PEG-40 Oleate,Soothing,2,0,All,Sensitive,A standard cosmetic soothing used in skincare formulations.
PPG-10 Tocopherol,Surfactant,0,1,Aging,Dry,A standard cosmetic surfactant used in skincare formulations.
